Position,Tube,Container Name,NRMID,IndividID,Species,Sex,date,Latitude (WGS84),Longitude (WGS84),Municipal,County,MU09 - 1,MU09 - 2,MU10 - 1,MU10 - 2,MU05 - 1,MU05 - 2,MU23 - 1,MU23 - 2,MU51 - 1,MU51 - 2,MU59 - 1,MU59 - 2,G10L - 1,G10L- 2,MU50 - 1,MU50 - 2
A01,4025809934,3000142742,NRM-CGI-002610,BI000030,Ursus arctos,Hona,2015-09-23,7144350,473722,Strömsund (S),Jämtlands län (S),104,116,151,151,127,127,173,176,142,150,246,248,172,182,130,136
A02,4025809935,3000142742,NRM-CGI-002609,BI000030,Ursus arctos,Hona,2015-08-21,7142943,476246,Strömsund (S),Jämtlands län (S),110,120,143,151,125,127,170,172,150,150,246,256,182,182,124,124
A03,4025809936,3000142742,NRM-CGI-002611,BI000030,Ursus arctos,Hona,2015-10-10,7146154,478044,Strömsund (S),Jämtlands län (S),116,120,141,151,127,127,176,176,140,150,246,256,182,182,130,134
A04,4025809937,3000142742,NRM-CGI-002612,BI000030,Ursus arctos,Hona,2015-10-10,7141056,477002,Strömsund (S),Jämtlands län (S),98,112,147,151,117,123,164,176,150,152,248,248,182,182,110,132
A05,4025809938,3000142742,NRM-CGI-002023,BI000046,Ursus arctos,Hane,2015-10-07,7092077,400959,Åre (S),Jämtlands län (S),112,116,151,151,123,125,164,166,150,150,232,240,182,186,128,132
A06,4025809939,3000142742,NRM-CGI-002024,BI000046,Ursus arctos,Hane,2015-10-09,7082947,404603,Åre (S),Jämtlands län (S),110,116,143,151,121,125,164,173,142,150,228,248,172,182,136,136
A07,4025809940,3000142742,NRM-CGI-004725,BI040061,Ursus arctos,Hona,2015-09-22,7092178,585381,Sollefteå (S),Västernorrlands län (S),116,120,143,151,127,127,176,176,150,152,248,256,172,182,124,124
A08,4025809941,3000142742,NRM-CGI-004732,BI040061,Ursus arctos,Hona,2015-10-11,7093924,588859,Sollefteå (S),Västernorrlands län (S),110,116,141,151,127,127,173,174,142,148,240,240,178,188,130,130
A09,4025809942,3000142742,NRM-CGI-004723,BI040061,Ursus arctos,Hona,2015-09-06,7095017,586091,Sollefteå (S),Västernorrlands län (S),110,120,141,151,123,127,170,176,148,152,232,256,178,178,128,132
A10,4025809943,3000142742,NRM-CGI-004728,BI040061,Ursus arctos,Hona,2015-09-26,7092053,586972,Sollefteå (S),Västernorrlands län (S),98,116,145,147,125,127,166,173,148,150,226,248,188,188,128,130
A11,4025809944,3000142742,NRM-CGI-004726,BI040061,Ursus arctos,Hona,2015-09-22,7091986,587044,Sollefteå (S),Västernorrlands län (S),120,122,141,151,125,127,166,172,148,150,248,256,178,182,130,134
A12,4025809945,3000142742,NRM-CGI-004730,BI040061,Ursus arctos,Hona,2015-10-04,7094399,587392,Sollefteå (S),Västernorrlands län (S),116,120,143,143,125,125,170,176,142,148,246,246,174,188,124,130
B01,4025809946,3000142742,NRM-CGI-004733,BI040061,Ursus arctos,Hona,2015-10-17,7092264,588731,Sollefteå (S),Västernorrlands län (S),112,122,151,151,123,125,172,174,140,148,240,256,182,182,128,136
B02,4025809947,3000142742,NRM-CGI-004727,BI040061,Ursus arctos,Hona,2015-09-22,7094457,587426,Sollefteå (S),Västernorrlands län (S),116,120,141,151,125,127,170,176,150,150,248,256,182,188,124,134
B03,4025809948,3000142742,NRM-CGI-004731,BI040061,Ursus arctos,Hona,2015-10-05,7087916,562236,Strömsund (S),Jämtlands län (S),116,116,143,145,123,127,170,173,148,150,248,248,172,182,124,124
B04,4025809949,3000142742,NRM-CGI-004724,BI040061,Ursus arctos,Hona,2015-09-12,7091968,587447,Sollefteå (S),Västernorrlands län (S),120,122,141,151,123,125,170,172,142,152,240,256,184,188,124,130
B05,4025809950,3000142742,NRM-CGI-004729,BI040061,Ursus arctos,Hona,2015-09-26,7093393,587286,Sollefteå (S),Västernorrlands län (S),104,116,143,147,123,127,176,176,142,150,246,248,178,182,130,130
B06,4025809951,3000142742,NRM-CGI-003586,BI040515,Ursus arctos,Hona,2015-10-18,6838283,458726,Härjedalen (S),Jämtlands län (S),110,122,147,151,123,123,166,166,142,148,246,248,182,184,124,130
B07,4025809952,3000142742,NRM-CGI-003585,BI040515,Ursus arctos,Hona,2015-10-08,6847342,461113,Härjedalen (S),Jämtlands län (S),116,120,143,147,123,127,173,176,142,152,248,248,182,184,124,128
B08,4025809953,3000142742,NRM-CGI-002455,BI040826,Ursus arctos,Hona,2015-10-29,6863156,441594,Härjedalen (S),Jämtlands län (S),110,120,147,151,123,123,166,166,142,150,246,246,182,188,124,130
B09,4025809954,3000142742,NRM-CGI-002453,BI040826,Ursus arctos,Hona,2015-08-27,6885723,450306,Härjedalen (S),Jämtlands län (S),104,110,143,145,127,127,173,176,140,148,240,248,178,182,130,132
B10,4025809955,3000142742,NRM-CGI-002452,BI040826,Ursus arctos,Hona,2015-08-23,6885723,450306,Härjedalen (S),Jämtlands län (S),110,116,145,147,123,123,176,176,142,150,248,248,182,184,124,128
B11,4025809956,3000142742,NRM-CGI-002454,BI040826,Ursus arctos,Hona,2015-09-10,6860729,438687,Härjedalen (S),Jämtlands län (S),116,122,145,147,123,127,176,176,150,152,248,248,184,188,130,134
B12,4025809957,3000142742,NRM-CGI-004141,BI040898,Ursus arctos,Hona,2015-10-23,7039454,569426,Sollefteå (S),Västernorrlands län (S),110,120,151,151,127,127,166,176,142,148,240,246,182,188,124,124
C01,4025809958,3000142742,NRM-CGI-004140,BI040898,Ursus arctos,Hona,2015-10-15,7041886,563295,Sollefteå (S),Västernorrlands län (S),110,122,143,145,127,127,172,172,150,152,246,248,182,182,128,134
C02,4025809959,3000142742,NRM-CGI-001998,BI040949,Ursus arctos,Hona,2015-09-01,7026055,644338,Örnsköldsvik (S),Västernorrlands län (S),110,116,147,151,125,127,173,176,150,152,240,246,184,184,124,130
C03,4025809960,3000142742,NRM-CGI-006064,BI040961,Ursus arctos,Hane,2015-09-12,7056813,627418,Örnsköldsvik (S),Västernorrlands län (S),104,116,143,151,127,127,176,176,140,152,240,248,182,184,124,134
